fecha;tendencia;precio_entrada;resultado;ganancia_usd
21/01/2025 4:40;bajista;103.905;sin resultado;0.0
21/01/2025 5:00;alcista;103.915;SL;-10.0
21/01/2025 5:05;bajista;1.039;TP;10.0
21/01/2025 7:10;alcista;103.755;TP;10.0
21/01/2025 7:50;bajista;103.793;TP;10.0
21/01/2025 9:55;alcista;103.536;SL;-10.0
21/01/2025 10:10;bajista;103.456;SL;-10.0
21/01/2025 10:25;alcista;103.546;sin resultado;0.0
21/01/2025 11:00;bajista;10.348.600.000.000.000;sin resultado;0.0
21/01/2025 11:10;alcista;103.539;SL;-10.0
21/01/2025 11:20;bajista;10.348.600.000.000.000;sin resultado;0.0
21/01/2025 11:45;alcista;103.539;sin resultado;0.0
21/01/2025 12:05;bajista;103.504;sin resultado;0.0
21/01/2025 12:25;alcista;103.562;SL;-10.0
21/01/2025 12:45;bajista;10.348;SL;-10.0
21/01/2025 13:00;alcista;10.357;TP;10.0
21/01/2025 15:00;bajista;10.385;SL;-10.0
21/01/2025 15:10;alcista;103.894;TP;10.0
21/01/2025 15:55;bajista;104.006;SL;-10.0
21/01/2025 16:05;alcista;104.054;TP;10.0
21/01/2025 17:40;bajista;104.263;sin resultado;0.0
21/01/2025 18:20;alcista;10.425;TP;10.0
21/01/2025 19:00;bajista;104.285;TP;10.0
21/01/2025 20:05;alcista;104.212;sin resultado;0.0
21/01/2025 20:45;bajista;104.173;SL;-10.0
21/01/2025 20:55;alcista;104.201;sin resultado;0.0
21/01/2025 22:05;bajista;104.247;TP;10.0
21/01/2025 22:30;alcista;104.263;SL;-10.0
21/01/2025 23:00;bajista;104.042;SL;-10.0
21/01/2025 23:25;alcista;104.071;TP;10.0
22/01/2025 1:00;bajista;104.164;sin resultado;0.0
22/01/2025 2:40;alcista;104.127;sin resultado;0.0
22/01/2025 3:45;bajista;104.102;SL;-10.0
22/01/2025 4:05;alcista;104.138;sin resultado;0.0
22/01/2025 4:55;bajista;104.172;sin resultado;0.0
22/01/2025 5:45;alcista;104.139;SL;-10.0
22/01/2025 6:10;bajista;104.106;TP;10.0
22/01/2025 7:05;alcista;104.125;sin resultado;0.0
22/01/2025 8:00;bajista;104.096;SL;-10.0
22/01/2025 8:15;alcista;104.158;TP;10.0
